id,Geo
KM034563-G3687,SierraLeone_G
KM034562-G3686,SierraLeone_G
KM034561-G3683,SierraLeone_G
KM034560-G3682,SierraLeone_G
KM034559-G3680,SierraLeone_G
KM034558-G3679,SierraLeone_G
KM034556-G3677,SierraLeone_G
KM034554-G3676,SierraLeone_G
KM034553-G3670,SierraLeone_G
KM034552-EM098,SierraLeone_EM
KM034551-EM096,SierraLeone_EM
KM034550-EM095,SierraLeone_EM
KJ660348-Gueckedou-C05,Gueckedou_Guinea
KJ660347-Gueckedou-C07,Gueckedou_Guinea
KJ660346-Kissidougou-C15,Kissidougou_Guinea
AA000000-NM042,SierraLeone_NM
AA000000-G3857,SierraLeone_G
AA000000-G3856,SierraLeone_G
AA000000-G3851,SierraLeone_G
AA000000-G3850,SierraLeone_G
AA000000-G3848,SierraLeone_G
AA000000-G3846,SierraLeone_G
AA000000-G3845,SierraLeone_G
AA000000-G3841,SierraLeone_G
AA000000-G3840,SierraLeone_G
AA000000-G3838,SierraLeone_G
AA000000-G3834,SierraLeone_G
AA000000-G3831,SierraLeone_G
AA000000-G3829,SierraLeone_G
AA000000-G3827,SierraLeone_G
AA000000-G3826,SierraLeone_G
AA000000-G3825,SierraLeone_G
AA000000-G3823,SierraLeone_G
AA000000-G3822,SierraLeone_G
AA000000-G3821,SierraLeone_G
AA000000-G3820,SierraLeone_G
AA000000-G3819,SierraLeone_G
AA000000-G3818,SierraLeone_G
AA000000-G3817,SierraLeone_G
AA000000-G3816,SierraLeone_G
AA000000-G3814,SierraLeone_G
AA000000-G3810,SierraLeone_G
AA000000-G3809,SierraLeone_G
AA000000-G3808,SierraLeone_G
AA000000-G3807,SierraLeone_G
AA000000-G3805,SierraLeone_G
AA000000-G3800,SierraLeone_G
AA000000-G3799,SierraLeone_G
AA000000-G3798,SierraLeone_G
AA000000-G3796,SierraLeone_G
AA000000-G3795,SierraLeone_G
AA000000-G3789,SierraLeone_G
AA000000-G3788,SierraLeone_G
AA000000-G3787,SierraLeone_G
AA000000-G3786,SierraLeone_G
AA000000-G3782,SierraLeone_G
AA000000-G3771,SierraLeone_G
AA000000-G3770,SierraLeone_G
AA000000-G3769,SierraLeone_G
AA000000-G3765,SierraLeone_G
AA000000-G3764,SierraLeone_G
AA000000-G3758,SierraLeone_G
AA000000-G3752,SierraLeone_G
AA000000-G3750,SierraLeone_G
AA000000-G3735,SierraLeone_G
AA000000-G3734,SierraLeone_G
AA000000-G3729,SierraLeone_G
AA000000-G3724,SierraLeone_G
AA000000-G3713,SierraLeone_G
AA000000-G3707,SierraLeone_G
AA000000-EM124,SierraLeone_EM
AA000000-EM121,SierraLeone_EM
AA000000-EM120,SierraLeone_EM
AA000000-EM119,SierraLeone_EM
AA000000-EM115,SierraLeone_EM
AA000000-EM113,SierraLeone_EM
AA000000-EM112,SierraLeone_EM
AA000000-EM111,SierraLeone_EM
AA000000-EM110,SierraLeone_EM
AA000000-EM106,SierraLeone_EM
AA000000-EM104,SierraLeone_EM
