id,Geo
OP415257,UK
MK783027,Nigeria_Rivers_State
MK783028,Nigeria_Rivers_State
MK783029,Nigeria_Rivers_State
MK783031,Nigeria_Rivers_State
MK783030,Nigeria_Rivers_State
MK783032,Nigeria_Rivers_State
MK783033,Nigeria_Rivers_State
MN648051,Israel_ex_Nigeria
MT250197,Singapore_ex_Nigeria
MT903341,Nigeria_Bayelsa_State
MT903343,UK_ex_Nigeria
MT903344,UK_ex_Nigeria
MT903345,UK
NC_063383,Nigeria_Rivers_State
ON563414,USA
ON674051,USA
ON675438,USA
ON676707,USA
ON676708,USA
OP612674,Nigeria_Bayelsa_State
OP612675,Nigeria_Bayelsa_State
OP612676,Nigeria_Bayelsa_State
OP612677,Nigeria_Rivers_State
OP612678,Nigeria_Rivers_State
OP612679,Nigeria_Delta_State
OP612680,Nigeria_Lagos_State
OP612681,Nigeria_Bayelsa_State
OP612682,Nigeria_Bayelsa_State
OP612683,Nigeria_Delta_State
OP612684,Nigeria_Lagos_State
OP612685,Nigeria_Delta_State
OP612686,Nigeria_Delta_State
OP612687,Nigeria_Enugu_State
OP612688,Nigeria_Oyo_State
OP612689,Nigeria_Rivers_State
OP612690,Nigeria_Imo_State
OP612691,Nigeria
OP331335,UK
OP331336,UK
OL504741,UK_ex_Nigeria
