id,Region,State,rawFastaId
MK783027,SS,Rivers,MK783027|3018|Nigeria|2017-11-09
MK783028,SS,Rivers,MK783028|3019|Nigeria|2017-11-09
MK783029,SS,Rivers,MK783029|3029|Nigeria|2017-12-06
MK783031,SS,Rivers,MK783031|3020|Nigeria|2017-11-09
MK783030,SS,Rivers,MK783030|3025|Nigeria|2017-11-30
MK783032,SS,Rivers,MK783032|3030|Nigeria|2017-11-01
MK783033,SS,Rivers,MK783033|2920|Nigeria|2017-10-09
MN648051,SS,Bayelsa,MN648051|Israel_2018|Israel_ex_Nigeria|2018-10-04
MT903338,SW,Lagos,MT903338|MPXV-M2957|Nigeria|2018
MT903339,SS,Delta,MT903339|MPXV-M3021|Nigeria|2018
MT903343,SS,Bayelsa,MT903343|MPXV-UK_P1|UK_ex_Nigeria|2018-09-07
MT903344,SS,Delta,MT903344|MPXV-UK_P2|UK_ex_Nigeria|2018-09-07
NC_063383,Nigeria,Nigeria,NC_063383|MPXV-M5312_HM12|Nigeria|2018-08
ON563414,SS,Delta,ON563414|MA001|USA|2022-05-19
ON674051,SE,Anambra,ON674051|FL001|USA_ex|2022-05-22
ON675438-VA001,SS,Rivers,ON675438-VA001|USA_ex|2022-05-27
ON676707,SS,Rivers,ON676707|USA_2021_TX|USA_ex_Nigeria|2021-07-15
ON676708,SS,Delta,ON676708|USA_2021_MD|USA_ex_Nigeria|9000155|UK|2022-06-03
OP331336-9000166,SW,Lagos,OP331336-9000166|UK|2022-06-29
OP413718-9000360,NC,FCT,OP413718-9000360|9000360|UK_ex|2022-08
OP450997-PA0016,NC,Nasarawa,OP450997-PA0016|USA|2022-07
OP535312,SS,Rivers,OP535312|MPXV_5222|Nigeria|2018-02
OP535314,SS,Rivers,OP535314|MPXV_5220|Nigeria|2018-01
OP535315,SE,Imo,OP535315|MPXV_5219|Nigeria|2018-02
OP535316,SE,Imo,OP535316|MPXV_5218|Nigeria|2018-02
OP535319,SS,Cross-River,OP535319|MPXV_5205|Nigeria|2017-12
OP535318,NC,Benue,OP535318|MPXV_5227|Nigeria|2017-12
OP535320,SE,Abia,OP535320|MPXV_3008|Nigeria|2017-11
OP535321,Nigeria,Nigeria,OP535321|MPXV_2979|Nigeria|2017-10
OP535322,SS,Edo,OP535322|MPXV_2958|Nigeria|2017-10
OP535323,SS,Bayelsa,OP535323|MPXV_2948|Nigeria|2017-10
OP535324,SE,Imo,OP535324|MPXV_5302|Nigeria|2018-02
OP535325,SS,Rivers,OP535325|MPXV_5316|Nigeria|2018-06
OP535326,SW,Oyo,OP535326|MPXV_5315|Nigeria|2018-06
OP535327,SS,Rivers,OP535327|MPXV_5307|Nigeria|2018-03
OP535328,SS,Rivers,OP535328|MPXV_5306|Nigeria|2018-03
OP535329,SS,Rivers,OP535329|MPXV_5305|Nigeria|2018-03
OP535330,SE,Imo,OP535330|MPXV_5301|Nigeria|2018-02
OP535331,SW,Oyo,OP535331|MPXV_5300|Nigeria|2018-01
OP535332,SW,Oyo,OP535332|MPXV_5232|Nigeria|2018-01
OP535333,SW,Oyo,OP535333|MPXV_5231|Nigeria|2018-01
OP535334,SS,Rivers,OP535334|MPXV_5223|Nigeria|2018-02
OP535335,SS,Bayelsa,OP535335|MPXV_2947|Nigeria|2017-10
OP535336,SE,Enugu,OP535336|MPXV_2946|Nigeria|2017-10
OP535337,SS,Bayelsa,OP535337|MPXV_2945|Nigeria|2017-10
OP535338,SS,Akwa-Ibom,OP535338|MPXV_2944|Nigeria|2017-10
OP535339,SE,Enugu,OP535339|MPXV_2915|Nigeria|2017-10
OP535340,SS,Akwa-Ibom,OP535340|MPXV_2888|Nigeria|2017-10
OP535341,SS,Bayelsa,OP535341|MPXV_2886|Nigeria|2017-10
OP555515-PT0428,SS,Delta,OP555515-PT0428|PT0428|Portugal|2022-08-01
OP605572,SE,Anambra,OP605572|MPXV-30|Slovenia|2022-07
OP612674,SS,Bayelsa,OP612674|MPXV/003/19|Nigeria|2019-01-16
OP612675,SS,Bayelsa,OP612675|MPXV/007/19|Nigeria|2019-02-03
OP612676,SS,Bayelsa,OP612676|MPXV/013/19|Nigeria|2019-02-26
OP612677,SS,Rivers,OP612677|MPXV/015/19|Nigeria|2019-03-14
OP612678,SS,Rivers,OP612678|MPXV/017/19|Nigeria|2019-03-19
OP612679,SS,Delta,OP612679|MPXV/018/19|Nigeria|2019-03-18
OP612680,SW,Lagos,OP612680|MPXV/021/19|Nigeria|2019-04-03
OP612681,SS,Bayelsa,OP612681|MPXV/039/19|Nigeria|2019-04-29
OP612682,SS,Bayelsa,OP612682|MPXV/040/19|Nigeria|2019-04-29
OP612683,SS,Delta,OP612683|MPXV/042/19|Nigeria|2019-04-29
OP612684,SW,Lagos,OP612684|MPXV/046/19|Nigeria|2019-05-13
OP612685,SS,Delta,OP612685|MPXV/052/19|Nigeria|2019-06-08
OP612686,SS,Delta,OP612686|MPXV/053/19|Nigeria|2019-07-01
OP612687,SE,Enugu,OP612687|MPXV/058/19|Nigeria|2019-08-19
OP612688,SW,Oyo,OP612688|MPXV/104/19|Nigeria|2019-11-16
OP612689,SS,Rivers,OP612689|MPXV/111/19|Nigeria|2019-12-19
OP612690,SE,Imo,OP612690|MPXV/113/19|Nigeria|2019-12-20
OP612691,SS,Rivers,OP612691|MPXV/191/20|Nigeria|2020-01-23
OP936000,Rest,Rest,OP936000|Mpox-HCMC-M157|Vietnam_ex_Dubai|2022-09-26
OP936001,Rest,Rest,OP936001|Mpox-HCMC-M155|Vietnam_ex_Dubai|2022-10-19
OR113690,SW,Lagos,OR113690|MUW1607960|Austria_ex_Nigeria|2023-04-05
TRM076,SS,Rivers,unpub|TRM076|Nigeria|Rivers|2022-09-27
TRM077,SE,Anambra,unpub|TRM077|Nigeria|Anambra|2022-09-27
TRM078,SE,Abia,unpub|TRM078|Nigeria|Abia|2022-09-19
TRM081,SS,Bayelsa,unpub|TRM081|Nigeria|Bayelsa|2022-10-21
TRM082,NC,Nasarawa,unpub|TRM082|Nigeria|Nasarawa|2022-11-01
TRM275,NC,Kwara,unpub|TRM275|Nigeria|Kwara|2022-09-15
TRM276,SE,Anambra,unpub|TRM276|Nigeria|Anambra|2022-09-22
TRM277,NC,FCT,unpub|TRM277|Nigeria|FCT|2022-09-30
TRM278,SE,Imo,unpub|TRM278|Nigeria|Imo|2022-09-20
TRM279,SE,Abia,unpub|TRM279|Nigeria|Abia|2022-09-26
TRM280,SE,Enugu,unpub|TRM280|Nigeria|Enugu|2022-10-05
TRM281,SE,Imo,unpub|TRM281|Nigeria|Imo|2022-10-11
TRM283,SE,Ebonyi,unpub|TRM283|Nigeria|Ebonyi|2022
TRM284,NW,Kaduna,unpub|TRM284|Nigeria|Kaduna|2022-10-30
TRM285,SW,Lagos,unpub|TRM285|Nigeria|Lagos|2022-09-16
TRM286,SE,Anambra,unpub|TRM286|Nigeria|Anambra|2022-09-12
TRM289,SE,Abia,unpub|TRM289|Nigeria|Abia|2022-09-25
TRM291,SS,Bayelsa,unpub|TRM291|Nigeria|Bayelsa|2022-10-07
TRM293,SE,Ebonyi,unpub|TRM293|Nigeria|Ebonyi|2022
TRM294,SS,Edo,unpub|TRM294|Nigeria|Edo|2022-11-01
TRM295,SW,Lagos,unpub|TRM295|Nigeria|Lagos|2022-09-18
TRM296,SS,Delta,unpub|TRM296|Nigeria|Delta|2022-08-30
TRM299,SE,Abia,unpub|TRM299|Nigeria|Abia|2022-09-26
TRM301,SS,Bayelsa,unpub|TRM301|Nigeria|Bayelsa|2022-09-26
TRM302,SE,Imo,unpub|TRM302|Nigeria|Imo|2022-10-14
TRM303,SE,Imo,unpub|TRM303|Nigeria|Imo|2022-10-24
TRM306,SE,Imo,unpub|TRM306|Nigeria|Imo|2022-09-13
TRM307,NC,FCT,unpub|TRM307|Nigeria|FCT|2022-09-26
TRM308,NC,FCT,unpub|TRM308|Nigeria|FCT|2022-10-02
TRM310,SW,Ogun,unpub|TRM310|Nigeria|Ogun|2022-09-30
TRM311,SS,Edo,unpub|TRM311|Nigeria|Edo|2022-10-01
TRM312,NE,Gombe,unpub|TRM312|Nigeria|Gombe|2022-10-08
TRM313,SE,Imo,unpub|TRM313|Nigeria|Imo|2022-10-24
TRM314,SS,Bayelsa,unpub|TRM314|Nigeria|Bayelsa|2022-10-27
TRM315,NC,Kogi,unpub|TRM315|Nigeria|Kogi|2022-09-18
TRM316,SS,Bayelsa,unpub|TRM316|Nigeria|Bayelsa|2022-09-19
TRM317,SE,Imo,unpub|TRM317|Nigeria|Imo|2022-09-17
TRM318,SW,Lagos,unpub|TRM318|Nigeria|Lagos|2022-09-22
TRM319,SS,Akwa-Ibom,unpub|TRM319|Nigeria|Akwa-Ibom|2022-09-27
TRM320,SS,Rivers,unpub|TRM320|Nigeria|Rivers|2022-10-03
TRM321,SW,Ondo,unpub|TRM321|Nigeria|Ondo|2022-10-05
TRM322,NC,Nasarawa,unpub|TRM322|Nigeria|Nasarawa|2022-10-13
TRM323,SW,Ogun,unpub|TRM323|Nigeria|Ogun|2022-10-26
TRM324,SS,Bayelsa,unpub|TRM324|Nigeria|Bayelsa|2022-10-30
TRM325,SW,Lagos,unpub|TRM325|Nigeria|Lagos|2022-09-14
TRM326,SS,Rivers,unpub|TRM326|Nigeria|Rivers|2022-09-27
TRM327,SS,Delta,unpub|TRM327|Nigeria|Delta|2022-09-16
TRM328,SW,Lagos,unpub|TRM328|Nigeria|Lagos|2022-09-16
TRM329,SS,Bayelsa,unpub|TRM329|Nigeria|Bayelsa|2022-09-28
TRM330,SE,Ebonyi,unpub|TRM330|Nigeria|Ebonyi|2022
TRM331,SS,Rivers,unpub|TRM331|Nigeria|Rivers|2022-10-06
TRM332,SE,Anambra,unpub|TRM332|Nigeria|Anambra|2022-10-12
TRM333,NW,Kaduna,unpub|TRM333|Nigeria|Kaduna|2022-10-24
TRM334,NW,Kano,unpub|TRM334|Nigeria|Kano|2022-11-02
TRM335,SW,Lagos,unpub|TRM335|Nigeria|Lagos|2022-09-12
TRM336,NC,FCT,unpub|TRM336|Nigeria|FCT|2022-09-23
TRM337,SS,Delta,unpub|TRM337|Nigeria|Delta|2022-09-16
TRM338,SW,Lagos,unpub|TRM338|Nigeria|Lagos|2022-09-23
TRM339,SS,Bayelsa,unpub|TRM339|Nigeria|Bayelsa|2022-09-28
TRM340,SW,Lagos,unpub|TRM340|Nigeria|Lagos|2022-09-29
TRM341,SS,Akwa-Ibom,unpub|TRM341|Nigeria|Akwa-Ibom|2022-10-05
TRM342,SE,Anambra,unpub|TRM342|Nigeria|Anambra|2022-10-14
TRM343,NW,Kaduna,unpub|TRM343|Nigeria|Kaduna|2022-10-26
TRM344,SS,Edo,unpub|TRM344|Nigeria|Edo|2022-10-26
TRM346,SW,Lagos,unpub|TRM346|Nigeria|Lagos|2022-09-20
TRM347,SS,Delta,unpub|TRM347|Nigeria|Delta|2022-08-30
TRM349,SE,Anambra,unpub|TRM349|Nigeria|Anambra|2022-09-27
TRM350,SW,Lagos,unpub|TRM350|Nigeria|Lagos|2022-09-30
TRM351,SS,Rivers,unpub|TRM351|Nigeria|Rivers|2022-10-12
TRM352,SS,Akwa-Ibom,unpub|TRM352|Nigeria|Akwa-Ibom|2022-10-08
TRM353,NC,Plateau,unpub|TRM353|Nigeria|Plateau|2022-10-24
TRM354,SE,Imo,unpub|TRM354|Nigeria|Imo|2022-10-17
TRM355,SW,Lagos,unpub|TRM355|Nigeria|Lagos|2022-09-13
TRM357,NC,Plateau,unpub|TRM357|Nigeria|Plateau|2022-09-12
TRM358,SW,Lagos,unpub|TRM358|Nigeria|Lagos|2022-09-23
TRM359,SE,Anambra,unpub|TRM359|Nigeria|Anambra|2022-09-27
TRM360,NW,Kaduna,unpub|TRM360|Nigeria|Kaduna|2022-09-17
TRM362,SS,Rivers,unpub|TRM362|Nigeria|Rivers|2022-10-14
TRM363,SS,Bayelsa,unpub|TRM363|Nigeria|Bayelsa|2022-10-13
TRM365,SW,Ogun,unpub|TRM365|Nigeria|Ogun|2022-09-14
TRM367,SE,Anambra,unpub|TRM367|Nigeria|Anambra|2022-09-14
VSP188,SS,Bayelsa,unpub|VSP188|Nigeria|Bayelsa|2022-12-26
VSP190,SE,Abia,unpub|VSP190|Nigeria|Abia|2023-01-02
VSP192,SS,Akwa-Ibom,unpub|VSP192|Nigeria|Akwa-Ibom|2023-01-08
VSP193,NE,Borno,unpub|VSP193|Nigeria|Borno|2023-01-08
VSP194,NE,Borno,unpub|VSP194|Nigeria|Borno|2022-01-01
VSP195,SE,Imo,unpub|VSP195|Nigeria|Imo|2022
VSP196,SE,Abia,unpub|VSP196|Nigeria|Abia|2023-01-24
VSP197,SS,Edo,unpub|VSP197|Nigeria|Edo|2022
VSP198,SS,Edo,unpub|VSP198|Nigeria|Edo|2022
VSP200,SS,Edo,unpub|VSP200|Nigeria|Edo|2022
VSP201,SS,Akwa-Ibom,unpub|VSP201|Nigeria|Akwa-Ibom|2023-02-21
VSP202,SE,Enugu,unpub|VSP202|Nigeria||2023-02-21
VSP203,SS,Cross-River,unpub|VSP203|Nigeria|Cross-River|2023-02-20
VSP204,SS,Rivers,unpub|VSP204|Nigeria|Rivers|2023-03-03
VSP205,SS,Rivers,unpub|VSP205|Nigeria|Rivers|2023-03-03
VSP206,NC,Niger,unpub|VSP206|Nigeria|Niger|2023-03-15
VSP207,SS,Bayelsa,unpub|VSP207|Nigeria|Bayelsa|2023-03-14
VSP208,SS,Rivers,unpub|VSP208|Nigeria|Rivers|2023-03-15
VSP209,SE,Abia,unpub|VSP209|Nigeria|Abia|2023-03-20
VSP210,SE,Enugu,unpub|VSP210|Nigeria|Enugu|2023-03-21
VSP212,SE,Imo,unpub|VSP212|Nigeria|Imo|2023-04-17
VSP213,SS,Rivers,unpub|VSP213|Nigeria|Rivers|2023-05-16
VSP214,NC,FCT,unpub|VSP214|Nigeria|FCT|2023-05-31
VSP215,NC,FCT,unpub|VSP215|Nigeria|FCT|2023-05-31
