id,Geo
KU312312.1,Suriname
KU321639.1,Brazil
KU365777.1,Brazil
KU365778.1,Brazil
KU365779.1,Brazil
KU497555.1,Brazil
KU501216.1,Guatemala
KU501217.1,Guatemala
KU509998.3,Haiti
KU707826.1,Brazil
KU729217.2,Brazil
KU729218.1,Brazil
KU853012.1,Dominican_Republic
KU853013.1,Dominican_Republic
KU926310.1,Brazil
KU940224.1,Brazil
KU940227.1,Brazil
KU940228.1,Brazil
KX051563.1,Haiti
KX269878.1,Haiti
KY317936.1,Colombia
KY317937.1,Colombia
KY317938.1,Colombia
KY317939.1,Colombia
KY317940.1,Colombia
ZBRA105,Brazil
ZBRC14,Brazil
ZBRC16,Brazil
ZBRC18,Brazil
ZBRC28,Brazil
ZBRC301,Brazil
ZBRC302,Brazil
ZBRC313,Brazil
ZBRC319,Brazil
ZBRC321,Brazil
ZBRD103,Brazil
ZBRD107,Brazil
ZBRD116,Brazil
ZBRX1,Brazil
ZBRX2,Brazil
ZBRX4,Brazil
ZBRX7,Brazil
ZBRX8,Brazil
ZBRX11,Brazil
ZBRX12,Brazil
ZBRX13,Brazil
ZBRX14,Brazil
ZBRX15,Brazil
ZBRX16,Brazil
ZBRX100,Brazil
ZBRX102,Brazil
ZBRX103,Brazil
ZBRX106,Brazil
ZBRX127,Brazil
ZBRX128,Brazil
ZBRX130,Brazil
ZBRX137,Brazil
DOM_2016_BB-0059-SER,Dominican_Republic
DOM_2016_BB-0071-SER,Dominican_Republic
DOM_2016_BB-0071-URI,Dominican_Republic
DOM_2016_BB-0076-SER,Dominican_Republic
DOM_2016_BB-0076-URI,Dominican_Republic
DOM_2016_BB-0085-SER,Dominican_Republic
DOM_2016_BB-0085-URI,Dominican_Republic
DOM_2016_BB-0091-SER,Dominican_Republic
DOM_2016_BB-0115-SER,Dominican_Republic
DOM_2016_BB-0115-URI,Dominican_Republic
DOM_2016_BB-0127-SER,Dominican_Republic
DOM_2016_BB-0180-SER,Dominican_Republic
DOM_2016_BB-0180-URI,Dominican_Republic
DOM_2016_BB-0183-SER,Dominican_Republic
DOM_2016_BB-0208-SER,Dominican_Republic
DOM_2016_BB-0216-SER,Dominican_Republic
DOM_2016_BB-0269-SER,Dominican_Republic
DOM_2016_BB-0428-PLA,Dominican_Republic
DOM_2016_BB-0433-SER,Dominican_Republic
DOM_2016_BB-0436-PLA,Dominican_Republic
MTQ_2016_FL-001-SAL,Martinique
